epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.343,1.30306,4.27695,1.04829,0.87979,0.85547,0.89884,0.49126,1.42237,4.72816,1.01548,0.0003,0.0003,0.0003
2,461.247,1.28049,1.13196,1.02813,0.87573,0.9152,0.95058,0.58038,1.25698,1.74512,1.01072,0.000607724,0.000607724,0.000607724
3,682.944,1.2807,0.96872,1.06894,0.82057,0.84416,0.8683,0.47877,1.39802,1.68263,1.03329,0.000902776,0.000902776,0.000902776
4,884.44,1.2867,0.90392,1.07432,0.77151,0.83322,0.85267,0.47628,1.4908,1.14368,1.13541,0.00118516,0.00118516,0.00118516
5,1099.34,1.28983,0.84616,1.07123,0.94474,0.76623,0.85573,0.51619,1.4092,1.33715,1.05691,0.00145486,0.00145486,0.00145486
6,1349.24,1.29032,0.85905,1.08494,0.91932,0.73989,0.83703,0.47122,1.45241,1.43,1.11381,0.0017119,0.0017119,0.0017119
7,1556.34,1.29746,0.80109,1.0768,0.92176,0.80519,0.86723,0.49303,1.39417,0.93377,1.05264,0.0017624,0.0017624,0.0017624
8,1811.27,1.30077,0.76663,1.0727,0.81649,0.75121,0.79264,0.45705,1.44848,1.1315,1.13225,0.0017228,0.0017228,0.0017228
9,2060.4,1.34588,0.78992,1.0882,0.9142,0.68831,0.82529,0.48486,1.37435,0.99699,1.06902,0.0016832,0.0016832,0.0016832
10,2324.8,1.18837,0.71814,1.04558,0.91457,0.83425,0.87304,0.55816,1.30263,0.83489,1.04039,0.0016436,0.0016436,0.0016436
11,2536.39,1.18289,0.66504,1.02682,0.84967,0.88083,0.88452,0.5024,1.40503,0.85887,1.08378,0.001604,0.001604,0.001604
12,2775.23,1.2481,0.68773,1.06802,0.89622,0.80519,0.88384,0.53159,1.33289,0.84786,1.04529,0.0015644,0.0015644,0.0015644
13,3022.69,1.18814,0.65237,1.03497,0.90153,0.83117,0.88021,0.51963,1.36039,0.86643,1.05075,0.0015248,0.0015248,0.0015248
14,3221.98,1.20591,0.67534,1.03161,0.88707,0.81612,0.84886,0.51534,1.27392,0.88224,1.03767,0.0014852,0.0014852,0.0014852
15,3455.08,1.1611,0.64878,1.01547,0.91306,0.8961,0.93567,0.54266,1.37094,0.74108,1.04443,0.0014456,0.0014456,0.0014456
16,3708.7,1.1295,0.62298,1.01139,0.92238,0.81818,0.93242,0.58937,1.29237,0.69609,1.0396,0.001406,0.001406,0.001406
17,3940.85,1.19642,0.62391,1.03626,0.94873,0.85714,0.92235,0.58294,1.29557,0.70254,1.0267,0.0013664,0.0013664,0.0013664
18,4186.59,1.1512,0.61145,1.01864,0.95578,0.84213,0.9432,0.59533,1.27524,0.6826,1.01646,0.0013268,0.0013268,0.0013268
19,4389.6,1.17645,0.61695,1.01994,0.93052,0.86968,0.92473,0.57621,1.29985,0.72349,0.99931,0.0012872,0.0012872,0.0012872
20,4588.54,1.11019,0.59877,1.00157,0.91821,0.90909,0.91677,0.55585,1.29694,0.7463,1.01737,0.0012476,0.0012476,0.0012476
21,4788.32,1.07049,0.56944,1.00154,0.87546,0.94805,0.94024,0.53796,1.46424,0.73837,1.06792,0.001208,0.001208,0.001208
22,4989.24,1.18223,0.61469,1.0092,0.91177,0.90909,0.95558,0.57293,1.29503,0.67349,1.00985,0.0011684,0.0011684,0.0011684
23,5202.15,1.09995,0.59864,0.99203,0.95694,0.80519,0.93805,0.56,1.36144,0.70538,1.04008,0.0011288,0.0011288,0.0011288
24,5421.82,1.12285,0.59787,1.0064,0.90773,0.89432,0.90269,0.54219,1.3696,0.76318,1.04175,0.0010892,0.0010892,0.0010892
25,5614.29,1.09577,0.57754,0.98517,0.89408,0.88312,0.90131,0.56979,1.29135,0.73954,1.03549,0.0010496,0.0010496,0.0010496
26,5802.67,1.11628,0.56432,1.00118,0.88886,0.84416,0.88771,0.56852,1.34846,0.80162,1.02129,0.00101,0.00101,0.00101
27,5988.36,1.07415,0.57064,0.97242,0.94063,0.85714,0.89539,0.59162,1.23128,0.74902,0.97721,0.0009704,0.0009704,0.0009704
28,6242.62,1.03554,0.53727,0.97494,0.91667,0.90909,0.92797,0.59756,1.31598,0.71838,1.01005,0.0009308,0.0009308,0.0009308
29,6428.62,1.01325,0.53376,0.9619,0.94688,0.92596,0.95182,0.61429,1.24763,0.63353,0.99187,0.0008912,0.0008912,0.0008912
